Model,Epoch,Train Loss,Train Acc
BPNN_v1,1,1.0373167991638184,0.4453617334365845
BPNN_v1,2,1.0118210315704346,0.45817235112190247
BPNN_v1,3,1.0087577104568481,0.46077513694763184
BPNN_v1,4,1.0078978538513184,0.4610191583633423
BPNN_v1,5,1.0071656703948975,0.4610191583633423
BPNN_v1,6,1.0071401596069336,0.4610191583633423
BPNN_v1,7,1.0070878267288208,0.4610191583633423
BPNN_v1,8,1.007432222366333,0.4610598087310791
BPNN_v1,9,1.0067979097366333,0.4610191583633423
BPNN_v1,10,1.0067843198776245,0.4610191583633423
BPNN_v1,11,1.0064921379089355,0.4610191583633423
BPNN_v1,12,1.0064347982406616,0.4610191583633423
BPNN_v1,13,1.0063936710357666,0.4610191583633423
BPNN_v1,14,1.0063798427581787,0.4610191583633423
BPNN_v1,15,1.0063332319259644,0.4610191583633423
BPNN_v1,16,1.0061451196670532,0.4610191583633423
BPNN_v1,17,1.0059758424758911,0.4610191583633423
BPNN_v1,18,1.0059614181518555,0.4610191583633423
BPNN_v1,19,1.0058015584945679,0.4610191583633423
BPNN_v1,20,1.0058989524841309,0.4610191583633423
BPNN_v1,21,1.005988597869873,0.4610191583633423
BPNN_v1,22,1.0059523582458496,0.4610191583633423
BPNN_v1,23,1.0059123039245605,0.4610191583633423
BPNN_v1,24,1.005947470664978,0.4610191583633423
BPNN_v1,25,1.0058486461639404,0.4610191583633423
BPNN_v1,26,1.005855917930603,0.4610191583633423
BPNN_v1,27,1.0059421062469482,0.4610191583633423
BPNN_v1,28,1.0059171915054321,0.4610191583633423
BPNN_v1,29,1.005873203277588,0.4610191583633423
BPNN_v1,30,1.005908489227295,0.4610191583633423
BPNN_v1,31,1.005913257598877,0.4610191583633423
BPNN_v1,32,1.0058860778808594,0.4610191583633423
BPNN_v1,33,1.0058372020721436,0.4610191583633423
BPNN_v1,34,1.0059081315994263,0.4610191583633423
BPNN_v1,35,1.0058810710906982,0.4610191583633423
BPNN_v1,36,1.0059034824371338,0.4610191583633423
BPNN_v1,37,1.005906105041504,0.4610191583633423
BPNN_v1,38,1.0059396028518677,0.4610191583633423
BPNN_v1,39,1.0058501958847046,0.4610191583633423
BPNN_v1,40,1.0058873891830444,0.4610191583633423
BPNN_v1,41,1.0058722496032715,0.4610191583633423
BPNN_v1,42,1.005915641784668,0.4610191583633423
BPNN_v1,43,1.0058740377426147,0.4610191583633423
BPNN_v1,44,1.0058668851852417,0.4610191583633423
BPNN_v1,45,1.005903720855713,0.4610191583633423
