Model,Epoch,Train Loss,Train Acc,Date/Time,Video Name,Comment
BPNN_v1,16,0.5284752249717712,0.7714018225669861,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,17,0.5209815502166748,0.7787221670150757,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,18,0.49939560890197754,0.7862052321434021,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,19,0.4813965857028961,0.7958843111991882,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,20,0.4607468545436859,0.8066208362579346,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,21,0.448261559009552,0.8112977147102356,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,22,0.4409022629261017,0.813005805015564,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,23,0.421564519405365,0.82606041431427,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,24,0.42306411266326904,0.8230916261672974,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,25,0.4045959413051605,0.8303306102752686,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,26,0.39413389563560486,0.8388710618019104,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,27,0.38509657979011536,0.8419212102890015,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,28,0.37370479106903076,0.8454186916351318,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,29,0.3707047700881958,0.848956823348999,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,30,0.3562893867492676,0.855545163154602,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,31,0.3452332019805908,0.8581886291503906,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,32,0.3404124677181244,0.8619301319122314,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,33,0.3284863829612732,0.8676237463951111,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,34,0.3255816698074341,0.8694131374359131,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,35,0.31651395559310913,0.8733986616134644,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,36,0.3075525462627411,0.8780348896980286,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,37,0.30053651332855225,0.879254937171936,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,38,0.2986624240875244,0.8808410167694092,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,39,0.2882855534553528,0.8861685991287231,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,40,0.2888428866863251,0.8875513672828674,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,41,0.273018479347229,0.8907641768455505,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,42,0.2688139081001282,0.8940989971160889,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,43,0.2639044225215912,0.8980031609535217,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,44,0.26133379340171814,0.8973524570465088,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,45,0.263979434967041,0.897637128829956,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,46,0.24907496571540833,0.9031274318695068,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,47,0.24533146619796753,0.9051608443260193,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,48,0.2515176236629486,0.9023953676223755,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,49,0.2375088781118393,0.9082109928131104,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
BPNN_v1,50,0.23481255769729614,0.9107324481010437,2023-04-05 18:04:42,animal_3_learning_day_11,without frame subtraction
,,,,,,
BPNN_v1,1,1.0645860433578491,0.4597584307193756,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,2,1.0088741779327393,0.4610598087310791,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,3,1.0014735460281372,0.4610191583633423,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,4,0.9763352274894714,0.4684615135192871,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,5,0.9626522660255432,0.4657367169857025,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,6,0.9487838745117188,0.4758225083351135,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,7,0.9282694458961487,0.47964537143707275,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,8,0.8880141377449036,0.5123022198677063,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,9,0.7880174517631531,0.6316239237785339,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,10,0.7226974964141846,0.6742445826530457,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,11,0.673311173915863,0.7014111876487732,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,12,0.6306546926498413,0.726097047328949,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
BPNN_v1,13,0.6148393154144287,0.7327260375022888,2023-04-05 18:59:05,animal_3_learning_day_11,without frame subtraction
